Code,Title,Description
DEI010000,"Communities experiencing racial inequity","Organisations working on racial justice or supporting people from multiple communities"
DEI010100,"Black / African / Caribbean / Black British","Mixed Black/ Black British"
DEI010110,"African",""
DEI010120,"Caribbean",""
DEI010199,"Any other Black/ African/ Caribbean background",""
DEI010200,"Mixed","Mixed groups"
DEI010210,"White and Black",""
DEI010220,"White and Asian",""
DEI010299,"Any other Mixed / Multiple ethnic background",""
DEI010300,"Asian / Asian British","Mixed Asian/ Asian British"
DEI010310,"Indian",""
DEI010320,"Pakistani",""
DEI010330,"Bangladeshi",""
DEI010340,"Chinese",""
DEI010399,"Any other Asian background",""
DEI019900,"Other Group experiencing ethnic or racial inequity",""
DEI019910,"Arab",""
DEI019920,"Jewish",""
DEI019930,"Gypsy, Roma and Traveller Communities",""
DEI019999,"Any other Ethnic group",""
DEI020000,"Disabled people","Working with people across multiple disabilities"
DEI020100,"Physical Impairment","Working with people with multiple or different physical impairments"
DEI020110,"Mobility","Physical/mobility impairment, such as a difficulty using your arms or mobility issues which require you to use a wheelchair or crutches"
DEI020120,"Visual impairment/ partial sight/sight loss","Visual impairment, such as being blind or having a serious visual impairment"
DEI020130,"Hard of hearing/ deaf/ hearing loss","Hearing impairment, such as being deaf or having a serious hearing impairment"
DEI020140,"Speech impairment","Impaired ability to produce speech sounds"
DEI020200,"Mental Health","Mental health condition or experience, such as depression or psychosis or addiction that impacts people’s lives"
DEI020300,"Cognitive differences","Multiple or different cognitive differences"
DEI020310,"Learning disability","A reduced intellectual ability and difficulty with everyday activities which affects someone for their whole life, such as Down’s Syndrome"
DEI020320,"Learning difficulty","Learning difficulties such as dyslexia and ADHD"
DEI020330,"Neurodivergent","Cognitive difference such as autistic spectrum disorder where individuals are impacted by the social environment"
DEI020400,"Health","Long-standing illness or health condition, such as cancer, HIV, diabetes, chronic heart disease or epilepsy, or other rare conditions"
DEI029900,"Other","Other - An impairment, medical condition or environmental disadvantage that is not listed above"
DEI030000,"Faith","Interfaith and multi-faith groups"
DEI030100,"Catholic","People who describe their faith as Catholic or Roman Catholic"
DEI030200,"Protestant","Anglicans, Adventists, Baptists, Methodists, Pentecostals, Presbyterians, Religious Society of Friends, Reformed Churches and other Protestant denominations"
DEI030300,"Other Christian denominations","Orthodox and other denominations"
DEI030400,"Buddhist",""
DEI030500,"Hindu",""
DEI030600,"Jewish",""
DEI030700,"Muslim",""
DEI030800,"Sikh",""
DEI030900,"Atheist",""
DEI031000,"Agnostic",""
DEI039900,"Other","Other faiths and beliefs"
DEI040000,"LGBT+ People","Working with LGBT+ people with multiple identities"
DEI040100,"Bisexual people","All bisexual people"
DEI040110,"Bisexual men",""
DEI040120,"Bisexual women",""
DEI040200,"Gay men",""
DEI040300,"Lesbian/gay women",""
DEI040400,"Transgender people","All transgender people"
DEI040410,"Trans men",""
DEI040420,"Trans women",""
DEI040500,"Non-binary people",""
DEI049900,"Other","Other LGBT+ People, including queer and intersex people"
DEI050000,"Migrants","Migrants with multiple status"
DEI050100,"Asylum seekers",""
DEI050200,"Refugees",""
DEI050300,"Undocumented People",""
DEI059900,"Other Migrants","This includes other migrants with official immigration status, e.g. international students; and who are naturalised British"
DEI060000,"Older People","Typically those aged 60 and over"
DEI070000,"Children and Young People","Typically people under 26 but sometimes people under 19"
DEI070100,"Young adults","Typically young people from 16 to 25 years of age"
DEI070200,"Young people","Typically young people from 8 to 25"
DEI070300,"Children","Under 16"
DEI070400,"Infants","Under 2 years of age"
DEI080000,"People who are educationally or economically disadvantaged","This will be defined by the organisation, such as children eligible for free school meals or for adults were eligible for free school meals as a child, families receiving benefits or universal credit, people who are homeless, people who did not complete formal education or otherwise considered in deprivation or poverty etc."
DEI090000,"Women and girls","Those who identify and live as women and girls"
DEI700000,"Welsh Language Speaking",""
DEI800010,"The Protestant community",""
DEI800020,"The Catholic community",""
DEI800030,"Neither",""